function:(p1*x)^0.35076971,average_MSE:0.05433583355654934
name,p1,MSE
job_00323,2.7380146756516455,0.019015916737982894
job_00327,3.9153230049104186,0.006822340055714967
job_00329,2.7828918057549314,0.015579038581466233
job_00330,3.3544549999716935,0.010236719917806265
job_00333,3.1247607595713873,0.025338926742763234
job_00336,5.578943762116255,0.35851457088265387
job_00338,4.200679324441051,0.00881720916785612
job_00340,3.8171398009914372,0.025130516032616085
job_00341,2.9251624641779217,0.019644714514279737
job_00342,3.2399222962059246,0.024740250633583892
job_00343,3.718290220056654,0.02615939679697241
job_00344,3.1011368798888124,0.0030478007129514763
job_00345,2.6490073649555854,0.015242957037089966
job_00347,2.702483677703464,0.01923224035888631
job_00348,13.905953524034125,2.9105537992553865
job_00349,14.272522068644635,2.8353641715448936
job_00359,3.212471876270705,0.0031904693296938664
job_00360,5.611579014906776,0.36809653360621836
job_00361,3.8197170301813124,0.053008273660058704
job_00366,3.532780617785094,0.022434861920241276
job_00372,3.4616939046429556,0.023335722476589722
job_00373,3.7307287218741045,0.02433702265917428
job_00375,3.3478887503401906,0.030872327363950642
job_00377,3.0345215340154237,0.014499640337842862
job_00378,3.4835765633600415,0.01822726383051625
job_00380,3.928561099854203,0.0228746787325662
job_00382,3.1498391139441297,0.0106175987331466
job_00383,2.8733564191287866,0.012729967220937428
job_00384,3.0390296234013765,0.013215504084307564
job_00385,3.0585525932746362,0.008292971597319168
job_00386,2.6431147360935636,0.014977252245535191
job_00387,3.1316852809681146,0.0067532091899190514
job_00388,3.5555700660949587,0.0248562970974531
job_00389,2.8879507719471658,0.008122772578564127
job_00390,3.5652218687240613,0.010041854518928944
job_00391,2.91848263446182,0.011871303027209219
job_00392,3.3542707292205955,0.010779820882542009
job_00394,4.87295160452815,0.22885985996077265
job_00397,3.685729664789942,0.038787987502039385
job_00398,3.391224286806209,0.04809806005304034
job_00399,3.071149143525086,0.012206366876887139
job_00400,3.3205831539888964,0.029908264528391872
job_00401,3.8241194877586104,0.051846477119606445
job_00402,3.4105628006418143,0.02354408179417789
job_00403,3.5771595570080623,0.011805697351912158
job_00405,3.9840541649942582,0.0067026824522995595
job_00406,3.2976728366927563,0.006125842926241045
job_00407,4.175917436037064,0.01253471432806525
job_00410,3.212061828015352,0.0031375584047629605
job_00411,3.7526277718224894,0.007291127648365955
job_00412,2.8686691176354575,0.018236955909533076
job_00413,3.199738892423603,0.009589774881085205
job_00415,2.8627192781772264,0.011774614069125082
job_00416,3.412494996831091,0.08158593719275102
job_00417,3.0085947567612887,0.01595758185697131
job_00418,3.5703353640553326,0.029483129670826193
job_00419,3.235154788504132,0.01291534017964727
job_00421,3.555701487692172,0.01858773060760074
