function:(p1*x)^1/3,average_MSE:0.07513390737917766
name,p1,MSE
job_00387,4.6250771037553475,0.017530394151511166
job_00388,5.287457407741912,0.005050316538033729
job_00389,4.246855818177996,0.023735112560260233
job_00390,5.301570825477859,0.012962764532554193
job_00391,4.294993751469823,0.005977438156075558
job_00392,4.9723967216302665,0.00411494532042728
job_00394,7.357820813385765,0.3927995684697109
job_00397,5.488886200962072,0.07403177746993504
job_00398,5.027255048235743,0.10690220138127404
job_00399,4.53177934631454,0.0050621633058115555
job_00400,4.917499398131861,0.07884926835003625
job_00401,5.705623368199855,0.09580331602768098
job_00402,5.0608189456756785,0.0034864014544037747
job_00403,5.320461636862895,0.009941275203413365
job_00405,5.957119125269304,0.049328070422614174
job_00406,4.883723442498697,0.009509314439408351
job_00407,6.260067676618447,0.041695284621429955
job_00410,4.749851030586479,0.019441593885020855
job_00411,5.594412438921461,0.028573176223794187
job_00412,4.21826609809877,0.0029831525365586913
job_00413,4.731381350398344,0.009056814774884707
job_00415,4.208748823875295,0.004257091675013172
job_00416,5.059701133588264,0.15793068495243437
job_00417,4.4348980404917695,0.004040145862478881
job_00418,5.307328683665886,0.08390661037549253
job_00419,4.78687141711192,0.003681174588028692
job_00421,5.287277518630105,0.007640891816241572
job_00422,5.117916077806858,0.0053361669106106605
job_00423,5.330615634077807,0.03295557987632019
job_00424,4.724258842658006,0.0657797130205292
job_00427,4.468271636364382,0.004123718281855646
job_00428,19.313634121040334,1.2226482079296688
job_00429,5.844876365435442,0.028910445845806976
job_00430,4.318554126690042,0.001935619817357706
job_00431,19.480589590111276,1.2651279880411592
job_00442,4.664998657096687,0.01037891627741105
job_00443,4.729042099532246,0.08939860018844475
job_00444,5.6063207662103345,0.062051022497394304
job_00445,4.999260085963981,0.003989893095594715
job_00446,4.73671743618832,0.2399845396763641
job_00447,5.0899150377424816,0.03637846892730913
job_00448,5.247418136255365,0.13701584028779706
job_00450,5.619969534854899,0.129138782990305
job_00457,5.627017550595298,0.03079641908220146
job_00458,8.63506157847131,0.5992437276886203
job_00460,4.846264166251385,0.014296895433776314
job_00466,5.96562385347616,0.013010492120065432
job_00467,7.4868449161768265,0.10744700095470043
job_00468,4.607041223486332,0.06545918053310845
job_00474,6.035783734217985,0.08078599920489335
job_00476,4.059920659528654,0.0021524387400357193
job_00478,4.9366284131178935,0.013787388108264229
job_00479,4.2952930352179886,0.001966791823313038
job_00481,5.450644117009044,0.019911319513558307
