name,p1,RMS,std_dev_abs_diff,max_abs_difference
job_00149,4.334389276209862,0.04793985470799646,0.034553665507369734,0.5665868811758625
job_00152,4.720011224486624,0.24140448032775091,0.12668131116598716,0.6253452858211659
job_00153,9.795095370916169,0.9215905372932673,0.42321970074929366,1.7151209787901962
job_00154,4.164887857541754,0.04074739454746122,0.03504833355443601,0.5390721154209921
job_00155,4.510992155175768,0.04792485921955936,0.04110368563653264,0.5939261202558588
job_00156,4.1199209207862,0.05354521070080697,0.03621921221465369,0.5317803453267502
job_00157,4.575959163118572,0.04561845177927135,0.037512502793035585,0.6036823903883317
job_00159,4.092853587908633,0.11447959103096342,0.05206306002022523,0.5275873717168549
job_00160,5.09024114677961,0.49313071369474254,0.23544226924908915,1.1698798357349958
job_00162,4.436675550672656,0.08522482879111459,0.050073959849832976,0.5825806453835745
job_00164,4.04211856570828,0.0751535849122904,0.0390535738360035,0.5192552655559055
job_00165,5.558283878796027,0.3810566046164478,0.1783301638851286,0.7526250453657894
job_00166,5.5533210619334525,0.38156474625367187,0.17843597709023537,0.754398669171767
job_00169,4.90461552520137,0.31586830011760614,0.14596217543967932,0.6531966624062049
job_00173,4.361712002589156,0.045561409448440504,0.037000316122316794,0.5703543007284098
job_00176,4.378687145100806,0.08216760587141647,0.04395944398123808,0.5737013740955548
job_00177,3.936828625750586,0.06842674559857484,0.03573834549114648,0.5019755208415606
job_00178,4.034360530102585,0.03994535014146983,0.029450534351016324,0.5177004349656853
job_00179,4.372684026431692,0.06815720218829631,0.04938989676821799,0.5722589747597422
job_00180,5.505749734356569,0.09091442057437704,0.06033850667610402,0.7368548082268072
job_00182,5.53151274273005,0.09726722347051345,0.059672344052287225,0.740259501876398
job_00186,8.729027279650724,0.7376989788374754,0.3467387469450147,1.3075503988626451
job_00188,4.394367143407362,0.05428411744920074,0.04002267634889887,0.575378841680912
job_00191,4.837590926033119,0.09076150864153973,0.05750596650594831,0.6431808177968317
job_00193,8.631044997281863,0.8608855455051417,0.37580497039427735,1.415880367969308
job_00194,8.354378733160818,0.7716534492967486,0.33840397792548776,1.2676407121803948
job_00195,5.166957007609493,0.11791643547291995,0.0689938474990866,0.6900924912758724
job_00197,5.008188213961754,0.281404863845243,0.12282522150541782,0.6685301134378834
job_00205,4.379130862246984,0.064840640357021,0.040526816980246405,0.5732609968190905
job_00207,4.246200490916514,0.04966136446864795,0.036061185151974276,0.5522292015699577
job_00212,4.6221416836613685,0.19083488463806123,0.0890131248133315,0.61086569909796
job_00214,5.300994050367228,0.05940318936872369,0.05351448822035681,0.7090465610175218
job_00215,7.4584991420734905,0.667386077290052,0.2979652417261881,1.0848331195304475
job_00216,4.273160162973436,0.0471235936099178,0.03417283449997049,0.5564279666412808
job_00217,5.563935915308769,0.12538680693730464,0.07308459226119428,0.7447446210285935
job_00218,4.802390720798344,0.2884470351205033,0.14688485019182615,0.6384399297925338
job_00220,5.142087220141646,0.2505932524814503,0.12645975341759264,0.6868822148128422
job_00221,4.706694123465329,0.06269596332806607,0.04350371035678019,0.6236657795731877
job_00223,4.17130589699728,0.038937646966157126,0.03342239674544315,0.5399128323946745
