name,a,b,c,d,e,p,RMS,std_dev_abs_diff,max_abs_difference
job_03130,1.492025967816516,0.027498410965102058,-109.87689416476167,1.621142516010751,1.3130244785168121,0.7659638739034897,0.044620943722746303,0.03636471733128655,0.8648770023625576
job_03131,1.8112469090436842,0.9624176123613574,-2.471383977767711,0.016485277250550056,1.4844090421417575,0.6848867883935834,0.09371654534011906,0.06660892544067142,1.3309598666301745
job_03132,2.0033369244370403,0.18029877776227302,-26.68362852095124,0.22832509716972904,1.407608057466211,0.7169116720694794,0.10042336149851139,0.07227827940414264,1.2455133010834512
job_03133,6.593511168330948,0.6907724033313244,-7.848467618249496,0.010610853168679862,1.5284199340506444,1.0914592375659884,0.05760375170951515,0.04845933726626969,1.3043919251703562
job_03134,1.4584837888219344,0.01710400519841809,-299.5894122159183,1.8049221265971205,1.498513066905695,0.7724011528484902,0.0772585305921963,0.05559562991027985,1.2965090037348708
job_03135,1.6089421688838335,0.08490386906943932,-29.615288511279886,0.27639794145849766,1.4023254431823649,0.7907876907999758,0.05204880614308891,0.039168315742787015,0.9814059390959342
job_03136,14.538980715510148,0.12421128367497433,-1.209664501264553,2.8802242287038048e-05,1.9660689642649245,25.367607970108224,0.13274589975741688,0.10587506381033628,2.3436777272748297
job_03137,1.599205724243308,0.04543638851963274,-75.44326883507512,0.8140057116134037,1.377530137539339,0.756731931783226,0.05294123199602556,0.042487809465776454,0.9501392978267091
job_03138,1.5460925649065778,0.24041570169323404,-10.318396777836496,0.18779544049816033,1.338017648406205,0.6683505210055544,0.06150521454996105,0.04595066770890229,0.9460205873440279
job_03139,1.4619245660874127,0.08242794206230543,-35.71168169965856,0.2793770587895301,1.4590295521438579,0.7646931675170909,0.06803500029499679,0.04727345640052669,1.1617022257997123
job_03140,1.4066764045408955,0.19036524661241414,-12.049490187510514,0.10220050901019463,1.574833016366095,0.7720559193958489,0.05709807498718387,0.04967961539844164,1.247354757259002
job_03141,5.437128870577459,0.702445024447279,-5.135722005303278,0.007233318654052391,1.6175234207707387,1.2680048515394187,0.08175960147073542,0.059005965443359266,1.5084603482252694
job_03142,1.482069970203757,-0.1271495757946453,20.115626209565857,-0.1430848587648767,1.5964959539779089,0.8198283569893215,0.07176171614492856,0.05741776602658474,1.3606717017474832
