name,p1,p2,p3,RMS,std_dev_abs_diff,max_abs_difference
job_06821,-1.7117261084407918,2.6163906609218563,0.2943185665396433,0.052095732619436286,0.03459434352524209,0.4571354475189353
job_06822,-0.8675985925246963,2.0634790327139054,0.3235305388501745,0.029675119120756613,0.01911396767780314,0.22697674888518948
job_06823,-0.7032587875423131,2.0627408978762674,0.3149672582272828,0.030382758230567096,0.027109823966680324,0.3745666911091323
job_06824,-0.7686631405128406,2.0990888967286487,0.3145532605115473,0.028704729517472046,0.025957031271741766,0.3538994310011807
job_06825,-0.36925629237952967,1.8843180465985752,0.3221367780537484,0.04534567860070973,0.03629754896344732,0.49839199440654314
job_06826,-2.044565045827726,2.7822636298785324,0.28319972819079464,0.05236880830087224,0.04005828079834603,0.6243614159491937
job_06827,-0.9530287590986085,2.096065404237759,0.335262183650712,0.03339087869250445,0.02524591134022723,0.2188933548608496
job_06828,-1.0176144206399587,2.2126594357459313,0.3094596606953186,0.021586036531386334,0.01715829113653101,0.23655934389887512
job_06829,-0.5996762125725126,1.9637538431950203,0.320076556329989,0.02591187414579538,0.02360957057458931,0.36398778766178985
job_06830,-1.1714461188316287,2.309883204603734,0.30464187878337273,0.020091186934559527,0.01621554183566087,0.2237229142278947
job_06831,-0.5559944660908994,1.9969548760126712,0.32278877109038906,0.04233636803262222,0.03447877237823445,0.4537287406151431
job_06832,-1.2761412050760965,2.3894111603200585,0.31238745274480867,0.03268431166104591,0.026152830467308878,0.24899004475603803
job_06833,-0.5134931431821401,1.9354628291001166,0.31921771901207596,0.03011825168471174,0.026680763050742136,0.41316449313174286
job_06834,-2.3755282484654034,3.0675940506704866,0.2833643129329175,0.057367320493568394,0.04152499463033385,0.6699841977949168
job_06835,-0.31757284235939054,1.8023341306565064,0.33506380911762357,0.0404998166293564,0.036560688695064576,0.46828126694037975
job_06836,-0.7817351612454345,2.052051407590573,0.3179657153990686,0.022595403926918237,0.019695957017167618,0.2886837837465941
job_06837,-0.4102971580380971,1.8104001058358745,0.3360118871941317,0.031120124976390225,0.026903073457923775,0.387012883489007
job_06838,-0.9799095563024989,2.173936512444399,0.3120577465807599,0.023819193050937347,0.018763671307769854,0.2310730211647496
job_06839,-0.373687282849039,1.8530549679012096,0.3232986739660821,0.03410145222148182,0.029469178583195695,0.456573005568498
job_06840,-0.9604918203487696,2.180464619237613,0.3090772242424897,0.019013712593074168,0.017028063421931926,0.2530385303486269
