name,a,b,RMS,std_dev_abs_diff,max_abs_difference
job_04666,-0.9704983629624574,1.5914045759869944,0.14641768432340208,0.07305984855047484,0.7412537869754631
job_04667,0.05403793502117422,1.289656995971893,0.04446298259475812,0.028400840351817058,0.42586518330558
job_04668,-0.19805742602551496,1.4190964210703734,0.09815432840626953,0.053324184548635085,0.36801332001980924
job_04669,-0.27752169679812577,1.3329934897154851,0.09699796628600077,0.05278642719855346,0.30642820708264074
job_04671,-0.2775434030798827,1.324302074360537,0.09980914727583522,0.056813823149802496,0.37361446245701924
job_04674,0.020838767047823836,1.281494797213751,0.03120620588170076,0.027867205896842343,0.3809340876805354
job_04675,-0.03564953981335495,1.3598901918325665,0.055625797032825074,0.04708244438465479,0.4373115050224232
job_04678,-0.3486799778734399,1.3946388611439746,0.08681717259602831,0.05353073623536174,0.3161211167294653
job_04681,-3.4063135503951054,2.021443382283295,0.5824164561991412,0.32986577138009915,2.74701016811181
job_04683,-1.0925812387980682,1.4949992324300296,0.26108014856768236,0.13724627525920424,0.9593020063680386
job_04684,-0.15184927214409555,1.3449150153509304,0.0689573236997436,0.0436175105406481,0.2995938308457653
job_04685,-0.28063954619166953,1.418728613514116,0.07460923030056273,0.0366895760791866,0.28446225777944845
job_04686,-0.25678566733398356,1.3321685660721085,0.09270173856912783,0.053700853367078236,0.32528446139264755
job_04687,-0.054013251319876554,1.3177336067657666,0.044651112651984806,0.029941954149377083,0.3584974768176816
job_04688,-0.10222185103590808,1.2858227199158887,0.06112612523606388,0.03614729325909165,0.26425541425428545
job_04689,-1.1747093635715458,1.4733727028451358,0.24494990777412778,0.13132460762889053,1.06324666072641
job_04690,0.017310104950515992,1.3520436726130987,0.04669487755605422,0.03945662456256248,0.4794945108136077
job_04691,-0.6766325070965387,1.434326014055409,0.14820652506583704,0.08125594354717286,0.6688464930411295
job_04692,0.04775939817033661,1.2732430751367543,0.032664045488582705,0.025518657089750325,0.39639367618320365
job_04693,0.010984626522016705,1.312016665826403,0.04873694996273254,0.04088293528815513,0.41570009904630467
job_04695,-1.2380274723826048,1.5121208622245268,0.23154409789490038,0.12749275184262823,1.087946610158078
job_04697,-0.5135460882493665,1.3554997817470622,0.14600169772358934,0.07832369964730011,0.5199563065023043
job_04698,-1.2871719234193928,1.6169085651846804,0.14544629975434362,0.08779024483493574,1.0324033582347123
job_04701,-0.6278270174465413,1.6366105126242176,0.16334218221894808,0.07652110774966657,0.41888205117523203
job_04704,-0.6023307066973108,1.55362677188243,0.05388450651036195,0.034756954041044896,0.4106239348148809
job_04705,0.058293356952283236,1.2905732821870608,0.031418866110694714,0.027011204468403015,0.4319221186367932
job_04706,-0.5363030172762003,1.4454097194601347,0.11879541064672804,0.0729957560535988,0.4529632978160655
job_04707,-0.055319914077260446,1.3780007723217158,0.0406163552698077,0.03229579115082661,0.44412110768701085
job_04708,-0.3328005631335085,1.3260309113361186,0.11777741316065563,0.06869274299343296,0.36861965179738987
job_04709,-0.06908642135140064,1.3857691816870588,0.0595149276112952,0.037817894787132884,0.4415785854820087
job_04710,-0.27209570450521436,1.3971630060653732,0.08250027659934749,0.045098046963453806,0.26311486901445313
job_04711,-0.5556440782051233,1.4355036514823478,0.07667404271603484,0.046949691488930835,0.4821304267227755
job_04712,-0.053364532982400605,1.3366749882890405,0.04487266775124655,0.02806051138997393,0.386214394518128
job_04713,-3.4884184394805597,2.0301992725595555,0.5820077573956195,0.33398912513136897,2.8198991669210045
job_04714,0.06905743732207772,1.2495649040409282,0.031484796501314326,0.027436131389442467,0.38337188324632443
job_04715,-0.02405816008780204,1.3190351068525121,0.04881990715779715,0.03728655101809606,0.39042965599061996
job_04716,-0.22381351775660793,1.450454913646213,0.04033465636613788,0.031188487368400113,0.3947994963174417
job_04717,-0.08478424260667475,1.3978377329777827,0.05791982925918844,0.03749486126743261,0.4442846581424169
job_04718,-0.5474974749576089,1.5405414238491857,0.04388167638757628,0.026559269204523592,0.3687660511084232
job_04720,-0.0876356086923108,1.3456576452847206,0.04156275040921888,0.0268570255676266,0.36517855200045646
job_04721,-0.25228048694150207,1.363682094450481,0.08531263583288083,0.046775365919780584,0.250278392491021
job_04722,-0.14403707615150557,1.3627895108600252,0.05056900996970956,0.03322212370233344,0.33326551030580887
job_04723,-0.22627168572729348,1.4897388474031046,0.09782630492221275,0.05556689640489502,0.46095591016188187
job_04724,-0.7372700648391692,1.474930182370796,0.1797802801462945,0.09970806231392693,0.6240998824683732
job_04725,-0.044788659285770915,1.3826073682598161,0.053995866857164856,0.04275215195148208,0.4611462234908055
job_04726,-0.09637704305417936,1.3919222348958415,0.0417434544832292,0.030879478527911532,0.4234864982621809
job_04728,-0.050287068191848805,1.42244123079986,0.10990334610316542,0.07234786681565226,0.5217732220371079
job_04729,-0.019307544210349636,1.2525595865043826,0.040745466197126816,0.029221453582932762,0.29896598121002116
job_04731,0.029978751878718124,1.2714061640850958,0.031173709553014736,0.022958355476183478,0.3758137457166377
job_04732,-0.04412230862321027,1.3240869774094477,0.03556561966814259,0.025024569497734513,0.3774315655952005
job_04733,-0.8209552515049529,1.4699235328617182,0.15745587813004303,0.09119624150354745,0.7130317186432348
job_04734,-0.0513794924016584,1.3675982386487817,0.04547372618005666,0.03800739398007976,0.4331884796427157
job_04735,0.032187408853200594,1.3861538747988578,0.05868338868243033,0.051488387460925086,0.5431172391618022
job_04736,-0.3245031241131602,1.4216682301440495,0.07940144972142728,0.040482570781937094,0.26475489396911067
job_04737,-0.001123554382804537,1.3051275300688712,0.04427274970415367,0.03760432963350274,0.39341606505539395
job_04738,0.0011222728270310625,1.345532158850956,0.04928888698408803,0.038750407790828785,0.45370545076462165
job_04739,-0.10085706559826035,1.4273768366158786,0.0787596955024617,0.05117671917187288,0.47955299185836564
job_04740,-0.10845329783266702,1.3606196995283908,0.05886473581778954,0.03272196754309409,0.3664098791639496
job_04741,-0.19743734112824685,1.3121449541231727,0.07600344357894209,0.040462977203948994,0.2540916333185086
job_04744,-0.10996750565849944,1.411992029916568,0.04799674158897546,0.03714574677693474,0.44392490239803517
job_04745,-0.05166215864273238,1.2872210029853668,0.052123664178621146,0.03360627659894296,0.3167817798035839
job_04746,-0.4055049734134902,1.3937001846601533,0.06854634476855848,0.0410793878108587,0.3738547887533368
job_04747,0.01782638458403686,1.260861403440856,0.029505991419131693,0.022060726942118757,0.3481332019138075
job_04748,-1.361887915262529,1.5107592912913324,0.31706948672156887,0.17163333423649196,1.2130586239711967
job_04749,-0.26371874440705956,1.3323286380662551,0.09775422745737021,0.05400325800184593,0.31639414306899205
job_04752,-0.18381435682673328,1.4217413127856693,0.045560140634175975,0.03702950246404339,0.38689909043331117
job_04754,-0.2791093662286344,1.398662176629493,0.06902400153682396,0.03813592448447205,0.25185931333427236
job_04755,-0.23023462510458548,1.353066200867177,0.096847427526001,0.04630337121684917,0.23907842423740844
job_04756,-0.016192073477612794,1.270268125299605,0.04006286887914787,0.027681946166541304,0.32790158441093964
