name,a,b,p,RMS,std_dev_abs_diff,max_abs_difference
job_02036,-1.327638403331046,1.8310828074342407,0.3219596200867578,0.07044364032492616,0.04717832255432147,0.8584955958968052
job_02038,0.2355996165355619,1.2175217345067038,0.3478940911520464,0.06454010793136723,0.044324972990662494,0.5314152883171679
job_02039,-0.9469237007596754,1.9107872316611463,0.3106513384113934,0.15859617986888555,0.07925608580026544,0.48522611257411796
job_02040,0.10869080858134483,1.2853156514945758,0.34507724895695113,0.12908163589004623,0.06233495298196219,0.4984687581251699
job_02041,1.122170131329061,0.8085623065682699,0.39772447962109164,0.11118164869875104,0.06479034388635593,0.8856010831165002
job_02042,1.6051839019306122,0.6475185461185601,0.4238407085029572,0.16184207071056184,0.10143476753645185,1.148889079642085
job_02043,0.13634031150882206,1.231635304208186,0.33907545722446736,0.052639986246834136,0.03367467810231436,0.4361369337404106
job_02044,-0.6633190533326798,1.71469604574756,0.3137949401306045,0.0388639213629417,0.03194842432352255,0.34436986728755103
job_02045,-0.7903990240730544,1.7585601740221268,0.31010169235593155,0.0744963180970866,0.03705676533295087,0.3937288500509276
job_02046,1.8622065447436933,0.5407548794241084,0.4541282679431484,0.14650169514601133,0.09850739494513415,1.2646801499610152
job_02047,2.113101235646793,0.41422676405485803,0.49395969997118455,0.1638322330766317,0.0987721879365588,1.3373277598742237
job_02048,-0.0825564408765609,1.3258796496906493,0.3293194691239648,0.02764870316305977,0.022076158931135032,0.3334690702062513
job_02049,1.649848804631311,0.6111895908256739,0.436488597460861,0.1302675349602209,0.09056575539649804,1.1489642491503158
job_02050,-0.32395749162217136,1.4736157991197323,0.3215434770302138,0.04107230636886849,0.03207961557935963,0.2878466493659477
job_02051,-0.2889830152183667,1.4844360916572172,0.3235041391108703,0.04241768691663141,0.02829826829151023,0.34900757442422203
job_02052,0.19099609637553708,1.1909989135705898,0.33897673079862367,0.031074464487496723,0.025566312795195036,0.4317265373348167
job_02053,0.22538983084043973,1.2338076316814237,0.35373474978677144,0.0768732082265216,0.05237578682714482,0.5570921174303851
job_02054,0.4411567130127849,1.1005884125360132,0.36056770909302277,0.06449423742797857,0.041800031340083615,0.5881402499102739
job_02055,-1.058068207635538,1.976582851752928,0.3074654459535239,0.07795553770271499,0.04355930622524269,0.46949919539117246
